country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","14-04-2026 20:00:00",28.567890,77.250515,PM10,108,320,165
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","14-04-2026 20:00:00",28.567890,77.250515,NH3,5,14,9
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","14-04-2026 20:00:00",28.6573814,77.1585447,CO,18,104,37
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","14-04-2026 20:00:00",28.530785,77.271255,PM2.5,22,157,77
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","14-04-2026 20:00:00",28.623763,77.287209,PM2.5,28,203,86
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","14-04-2026 20:00:00",28.611281,77.237738,PM10,83,174,122
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","14-04-2026 20:00:00",28.611281,77.237738,OZONE,2,82,56
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","14-04-2026 20:00:00",28.636429,77.201067,SO2,5,33,21
India,Delhi,Delhi,"Mundka, Delhi - DPCC","14-04-2026 20:00:00",28.684678,77.076574,PM2.5,27,421,197
India,Delhi,Delhi,"Mundka, Delhi - DPCC","14-04-2026 20:00:00",28.684678,77.076574,NO2,25,112,71
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","14-04-2026 20:00:00",28.60909,77.0325413,PM2.5,51,204,87
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","14-04-2026 20:00:00","28.594004 ","76.909423 ",PM10,25,380,178
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","14-04-2026 20:00:00","28.594004 ","76.909423 ",OZONE,29,95,80
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","14-04-2026 20:00:00",28.623763,77.287209,SO2,20,48,29
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","14-04-2026 20:00:00",28.623763,77.287209,OZONE,4,88,59
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","14-04-2026 20:00:00",28.674045,77.131023,PM10,91,326,167
India,Delhi,Delhi,"Pusa, Delhi - DPCC","14-04-2026 20:00:00",28.639652,77.146275,PM2.5,38,320,137
India,Delhi,Delhi,"Pusa, Delhi - DPCC","14-04-2026 20:00:00",28.639652,77.146275,CO,18,128,76
India,Delhi,Delhi,"Pusa, Delhi - IMD","14-04-2026 20:00:00",28.636110,77.173332,NO2,4,113,47
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","14-04-2026 20:00:00",28.563262,77.186937,PM10,77,233,142
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","14-04-2026 20:00:00",28.563262,77.186937,NH3,9,13,10
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","14-04-2026 20:00:00",28.563262,77.186937,SO2,20,130,57
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","14-04-2026 20:00:00",28.542460,77.191651,OZONE,6,69,49
India,Delhi,Delhi,"ITO, Delhi - CPCB","14-04-2026 20:00:00",28.628624,77.241060,PM10,62,261,134
